cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
low pH,formulation_factor,aggregation,degradation_pathway,induces,10,10,high,this treatment can sometimes induce conformational changes and aggregation in pH-sensitive proteins.,22266304;25350583;27449627;27452990;31348937;39276019;39527351;39864607;40838564;41471335
glycosylation,sequence_structure,stability,quality_attribute,stabilizes,10,10,high,glycosylation is recognized as an important critical quality attribute (CQA) that can affect stability,22123061;24662970;25484062;30512936;30720351;31173761;32334683;35481906;37354999;39663547
disulfide bond,sequence_structure,stability,quality_attribute,stabilizes,7,7,high,the IgA2m(1) allotype lacks a covalent disulfide bond between heavy and light chains.,23055339;27994062;34369158;35708974;38999969;41276554;41400128
thermal stress,stress_condition,aggregation,degradation_pathway,induces,7,7,high,silicone oil accelerated protein aggregation under thermal stress conditions.,31618040;36945111;38536719;40069104;40414350;41075456;41602181
storage conditions,stress_condition,stability,quality_attribute,stabilizes,6,6,high,remained stable under different storage conditions.,22327432;22655582;38212080;40088339;40842315;41480115
excipients,formulation_factor,stability,quality_attribute,stabilizes,6,6,medium,"Excipients are often added to improve stability, bioavailability, and manufacturability of the protein therapeutics.",31005704;31487466;32965126;37218059;37715502;40280286
polysorbate 80,formulation_factor,particle formation,degradation_pathway,inhibits,5,4,high,Polysorbate 80 was effective at suppressing particle formation induced by stirring.,24449131;31108051;34090901;39370821
glycosylation,sequence_structure,immunogenicity,clinical_outcome,destabilizes,5,5,high,glycosylation is recognized as an important critical quality attribute (CQA) that can affect immunogenicity,25484062;30512936;35481906;37914146;40139530
temperature,stress_condition,aggregation,degradation_pathway,promotes,5,5,high,accelerated degradation studies conducted at 40 degrees C... faster aggregation kinetics,19899812;26692229;36306862;40021009;40838564
sucrose,formulation_factor,stability,quality_attribute,stabilizes,4,4,high,"some excipients, such as sucrose, polysorbate 80, and sodium phosphate, increase its stability.",20723008;25385011;31254660;40029670
high concentration,formulation_factor,stability,quality_attribute,increases,4,4,medium,the physical properties and stability of a model high concentration protein formulation obtained from the dense fraction,25776984;34225583;36442683;36945111
light exposure,stress_condition,oxidation,degradation_pathway,induces,4,4,medium,the oxidation level can be affected during manual or automated visual inspection step as the product is exposed to the l,35595030;39339258;41075456;41776150
